DATE,TICKER,QTE_DVOL,QTE_TRD
20060601,A,1.496277877,2.986048711
20060601,AA,1.189246206,2.531767815
20060601,AAI,4.763601844,2.670560748
20060601,AAP,2.088701549,3.115936953
20060601,AB,4.726301847,7.273381295
20060601,ABC,1.837715255,2.859544469
20060601,ABG,8.17331142,4.367936925
20060601,ABM,15.08221589,7.649159664
20060601,ABR,13.767579,8.921568627
20060601,ABT,1.217895139,2.50957327
20060601,ABX,1.802653469,2.624445708
20060601,ACC,22.67482535,9.229437229
20060601,ACE,1.668367201,3.221495816
20060601,ACF,2.235393108,3.03187404
20060601,ACI,1.06195082,2.422289232
20060601,ACL,1.144721589,3.242465137
20060601,ACN,2.131746862,3.30874888
20060601,ACO,6.313822622,4.441860465
20060601,ACS,2.0349999,3.534429017
20060601,ACV,2.792353186,4.082630691
20060601,ACW,14.42476311,4.740816327
20060601,ADC,7.16848978,6.672661871
20060601,ADM,1.056508204,2.389706876
20060601,ADS,1.512519721,3.267869535
20060601,AEA,16.37762329,6.778061224
20060601,AEE,3.918163435,4.758287293
20060601,AEL,5.574138071,3.422943221
20060601,AEM,3.210526141,3.698235999
20060601,AEP,1.834718316,3.034157833
20060601,AES,2.380404036,2.192677864
20060601,AET,1.037360717,2.183599942
20060601,AF,5.360859079,4.596450617
20060601,AFG,4.19544378,3.742928975
20060601,AFL,2.615664253,3.990777744
20060601,AGM,11.65536404,6.345679012
20060601,AGN,1.02989368,3.11827957
20060601,AGO,8.677654069,4.503164557
20060601,AGP,2.74329993,2.921925566
20060601,AGU,4.766364606,3.348816029
20060601,AHL,4.289032042,4.807603687
20060601,AHS,5.141197053,3.396621078
20060601,AHT,8.331891479,3.711426188
20060601,AIG,0.797863724,2.523515546
20060601,AIN,3.956027718,4.119103774
20060601,AIR,5.935698401,3.238029146
20060601,AIT,7.236614424,5.712811694
20060601,AIV,3.29081196,4.4239338
20060601,AIZ,2.1020788,3.094199306
20060601,AJG,4.328966749,5.293197811
20060601,AKR,11.12702152,5.54676259
20060601,AKS,3.151611217,2.575972823
20060601,AL,0.980790006,2.864593078
20060601,ALB,2.810930648,4.330514447
20060601,ALD,5.803136036,4.738893926
20060601,ALE,4.690356854,4.95
20060601,ALJ,4.064703354,3.872137405
20060601,ALK,3.538707473,3.213807316
20060601,ALL,1.301624151,3.258487654
20060601,ALO,5.246021226,3.679151061
20060601,ALV,3.669676445,5.621368322
20060601,AM,8.212793635,4.84109589
20060601,AMD,0.79851728,1.4740345
20060601,AME,5.035486278,5.495736906
20060601,AMG,1.978087043,4.61218638
20060601,AMN,8.758619018,8.214611872
20060601,AMP,2.545838873,3.793258427
20060601,AMT,1.561415243,3.224425887
20060601,AN,3.449375431,3.263888889
20060601,ANF,0.792495862,2.199222432
20060601,ANH,20.72392591,4.393026941
20060601,ANN,1.92338832,2.725024343
20060601,ANR,5.428458812,4.601888668
20060601,AOI,24.70370741,4.482905983
20060601,AOS,3.444795322,3.581566421
20060601,AP,4.901535007,4.832167832
20060601,APA,1.135940721,3.077708307
20060601,APC,1.444230019,2.45320959
20060601,APD,1.934325665,3.932298295
20060601,APH,2.132437449,3.52968508
20060601,ARB,4.923410519,5.331422018
20060601,ARC,12.83118556,4.514666667
20060601,ARE,4.855624726,7.332746479
20060601,ARG,2.870312426,3.350574713
20060601,ARJ,4.483738861,4.470951792
20060601,ARO,1.980617278,2.397744648
20060601,ARP,5.002802378,3.237347295
20060601,ARW,3.63908235,3.829554996
20060601,ASH,1.451346584,2.513884456
20060601,ATI,1.099365365,2.592112783
20060601,ATK,2.812852385,4.672016048
20060601,ATO,5.282087396,5.082644628
20060601,ATR,4.607904056,5.054545455
20060601,ATU,3.898541158,6.650933041
20060601,ATW,2.982198728,3.827640361
20060601,AVA,6.520779502,4.370829361
20060601,AVB,1.515862593,4.086021505
20060601,AVD,10.5736192,5.310077519
20060601,AVP,2.27946427,2.544985821
20060601,AVT,3.900329469,3.549190043
20060601,AVX,5.971279921,4.207163601
20060601,AVY,2.321874521,4.076539101
20060601,AWR,11.14194365,7.627962085
20060601,AXE,4.145698133,4.571043771
20060601,AXL,4.08923962,3.080558056
20060601,AXP,0.938522138,2.891651573
20060601,AXR,3.666781841,4.123115578
20060601,AXS,2.978519384,3.593833068
20060601,AYE,3.951867645,4.232397076
20060601,AYI,4.749568053,4.599409449
20060601,AZO,1.328679933,3.46017316
20060601,B,5.367952651,4.286966046
20060601,BA,0.971310635,2.685649547
20060601,BAC,0.508745699,1.729426165
20060601,BAM,4.86095752,6.031979257
20060601,BAP,10.65230074,5.398916968
20060601,BAS,4.380765717,4.330227743
20060601,BAX,2.709228697,3.373884453
20060601,BBG,7.469853428,5.207627119
20060601,BBT,2.82584112,4.054807103
20060601,BBW,4.224292981,3.822006472
20060601,BBX,8.202889186,4.248011569
20060601,BBY,0.963284664,2.774188539
20060601,BC,2.898721318,2.554418605
20060601,BCO,2.711870966,4.097520661
20060601,BCR,1.61571069,3.442992339
20060601,BDC,2.210372354,2.937834941
20060601,BDK,2.290734755,5.047874939
20060601,BDN,3.490559262,4.201279528
20060601,BDX,3.051598926,5.314917127
20060601,BEC,3.791348159,4.758293839
20060601,BEE,5.203998971,3.567888999
20060601,BEN,1.699587129,3.661179698
20060601,BEZ,12.49158715,6.169369369
20060601,BFb,1.919846267,3.335972291
20060601,BG,2.9678192,5.024863252
20060601,BGC,3.514556607,3.359084406
20060601,BGG,4.699723011,3.619692308
20060601,BHE,3.399711118,3.272458629
20060601,BHI,0.993571436,3.17388003
20060601,BHS,3.71652728,3.834123223
20060601,BID,3.853441199,3.13249908
20060601,BJ,3.923666411,4.149429658
20060601,BJS,1.595102892,2.409161491
20060601,BK,2.351248749,3.45938446
20060601,BKC,1.395341045,1.736705577
20060601,BKD,7.88906356,7.01119403
20060601,BKE,16.41202646,10.82071713
20060601,BKH,5.819709515,4.72972973
20060601,BKI,21.81604216,8.586805556
20060601,BKS,3.306707383,3.533651759
20060601,BLK,1.653386031,4.256526674
20060601,BLL,2.370979825,2.798016231
20060601,BLT,17.00039549,6.466472303
20060601,BMR,3.970315618,3.938825449
20060601,BMS,4.451716766,3.676767677
20060601,BMY,1.552139491,2.283164083
20060601,BNE,12.91032412,4.200811359
20060601,BNI,1.279056231,2.821336761
20060601,BOH,5.261383713,4.93598234
20060601,BPL,4.989841422,7.166666667
20060601,BPO,4.309353292,4.004095563
20060601,BPT,2.360150341,4.061904762
20060601,BRC,4.086022836,4.281923715
20060601,BRE,4.658042643,5.660714286
20060601,BRL,1.437403915,2.461210571
20060601,BRO,3.637051421,2.930987203
20060601,BRS,4.004027358,3.912943872
20060601,BRY,3.716299792,4.663420572
20060601,BSX,1.56340982,1.978502141
20060601,BTH,12.1129485,5.544951591
20060601,BTU,0.707738294,2.122186495
20060601,BWA,1.534357477,3.07797341
20060601,BWC,6.067824189,4.331797235
20060601,BWP,5.773986355,5.684210526
20060601,BWS,3.667105255,3.384318766
20060601,BXC,12.96453622,4.357142857
20060601,BXG,16.08011704,3.790839695
20060601,BXP,2.132915045,5.089479393
20060601,BXS,6.625319666,4.896103896
20060601,BYD,2.437009679,3.171790808
20060601,BYI,6.788176221,4.134464752
20060601,BZH,3.252233595,4.216405468
20060601,C,0.410183647,1.287695702
20060601,CAB,18.46805762,7.054924242
20060601,CAG,3.369370719,3.645
20060601,CAH,1.370581655,3.852782765
