PERMNO	date	PRC	RET
93436	20170821	337.85999	-0.027629
93436	20170822	341.35001	0.010330
93436	20170823	352.76999	0.033455
93436	20170824	352.92999	0.000454
93436	20170825	348.04999	-0.013827
93436	20170828	345.66000	-0.006867
93436	20170829	347.35999	0.004918
93436	20170830	353.17999	0.016755
93436	20170831	355.89999	0.007701
93436	20170901	355.39999	-0.001405
93436	20170905	349.59000	-0.016348
93436	20170906	344.53000	-0.014474
93436	20170907	350.60999	0.017647
93436	20170908	343.39999	-0.020564
93436	20170911	363.69000	0.059086
93436	20170912	362.75000	-0.002585
93436	20170913	366.23001	0.009593
93436	20170914	377.64001	0.031155
93436	20170915	379.81000	0.005746
93436	20170918	385.00000	0.013665
93436	20170919	375.10001	-0.025714
93436	20170920	373.91000	-0.003172
93436	20170921	366.48001	-0.019871
93436	20170922	351.09000	-0.041994
93436	20170925	344.98999	-0.017374
93436	20170926	345.25000	0.000754
93436	20170927	340.97000	-0.012397
93436	20170928	339.60001	-0.004018
93436	20170929	341.10001	0.004417
93436	20171002	341.53000	0.001261
93436	20171003	348.14001	0.019354
93436	20171004	355.01001	0.019733
93436	20171005	355.32999	0.000901
93436	20171006	356.88000	0.004362
93436	20171009	342.94000	-0.039061
93436	20171010	355.59000	0.036887
93436	20171011	354.60001	-0.002784
93436	20171012	355.67999	0.003046
93436	20171013	355.57001	-0.000309
93436	20171016	350.60001	-0.013978
93436	20171017	355.75000	0.014689
93436	20171018	359.64999	0.010963
93436	20171019	351.81000	-0.021799
93436	20171020	345.10001	-0.019073
93436	20171023	337.01999	-0.023414
93436	20171024	337.34000	0.000950
93436	20171025	325.84000	-0.034090
93436	20171026	326.17001	0.001013
93436	20171027	320.87000	-0.016249
93436	20171030	320.07999	-0.002462
93436	20171031	331.53000	0.035772
93436	20171101	321.07999	-0.031521
93436	20171102	299.26001	-0.067958
93436	20171103	306.09000	0.022823
93436	20171106	302.78000	-0.010814
93436	20171107	306.04999	0.010800
93436	20171108	304.39001	-0.005424
93436	20171109	302.98999	-0.004599
93436	20171110	302.98999	0.000000
93436	20171113	315.39999	0.040958
93436	20171114	308.70001	-0.021243
93436	20171115	311.29999	0.008422
93436	20171116	312.50000	0.003855
93436	20171117	315.04999	0.008160
93436	20171120	308.73999	-0.020029
93436	20171121	317.81000	0.029377
93436	20171122	312.60001	-0.016393
93436	20171124	315.54999	0.009437
93436	20171127	316.81000	0.003993
93436	20171128	317.54999	0.002336
93436	20171129	307.54001	-0.031523
93436	20171130	308.85001	0.004260
93436	20171201	306.53000	-0.007512
93436	20171204	305.20001	-0.004339
93436	20171205	303.70001	-0.004915
93436	20171206	313.26001	0.031478
93436	20171207	311.23999	-0.006448
93436	20171208	315.13000	0.012498
93436	20171211	328.91000	0.043728
93436	20171212	341.03000	0.036849
93436	20171213	339.03000	-0.005865
93436	20171214	337.89001	-0.003362
93436	20171215	343.45001	0.016455
93436	20171218	338.87000	-0.013335
93436	20171219	331.10001	-0.022929
93436	20171220	328.98001	-0.006403
93436	20171221	331.66000	0.008146
93436	20171222	325.20001	-0.019478
93436	20171226	317.29001	-0.024324
93436	20171227	311.64001	-0.017807
93436	20171228	315.35999	0.011937
93436	20171229	311.35001	-0.012716
93436	20180102	320.53000	0.029484
93436	20180103	317.25000	-0.010233
93436	20180104	314.62000	-0.008290
93436	20180105	316.57999	0.006230
93436	20180108	336.41000	0.062638
93436	20180109	333.69000	-0.008085
93436	20180110	334.79999	0.003326
93436	20180111	337.95001	0.009409
93436	20180112	336.22000	-0.005119
93436	20180116	340.06000	0.011421
93436	20180117	347.16000	0.020879
93436	20180118	344.57001	-0.007461
93436	20180119	350.01999	0.015817
93436	20180122	351.56000	0.004400
93436	20180123	352.79001	0.003499
93436	20180124	345.89001	-0.019558
93436	20180125	337.64001	-0.023852
93436	20180126	342.85001	0.015431
93436	20180129	349.53000	0.019484
93436	20180130	345.82001	-0.010614
93436	20180131	354.31000	0.024550
93436	20180201	349.25000	-0.014281
93436	20180202	343.75000	-0.015748
93436	20180205	333.13000	-0.030895
93436	20180206	333.97000	0.002522
93436	20180207	345.00000	0.033027
93436	20180208	315.23001	-0.086290
93436	20180209	310.42001	-0.015259
93436	20180212	315.73001	0.017106
93436	20180213	323.66000	0.025116
93436	20180214	322.31000	-0.004171
93436	20180215	334.06500	0.036471
93436	20180216	335.48999	0.004266
93436	20180220	334.76999	-0.002146
93436	20180221	333.29999	-0.004391
93436	20180222	346.17001	0.038614
93436	20180223	352.04999	0.016986
93436	20180226	357.42001	0.015254
93436	20180227	350.98999	-0.017990
93436	20180228	343.06000	-0.022593
93436	20180301	330.92999	-0.035358
93436	20180302	335.12000	0.012661
93436	20180305	333.35001	-0.005282
93436	20180306	328.20001	-0.015449
93436	20180307	332.29999	0.012492
93436	20180308	329.10001	-0.009630
93436	20180309	327.17001	-0.005864
93436	20180312	345.51001	0.056056
93436	20180313	341.84000	-0.010622
93436	20180314	326.63000	-0.044494
93436	20180315	325.60001	-0.003153
93436	20180316	321.35001	-0.013053
93436	20180319	313.56000	-0.024242
93436	20180320	310.54999	-0.009599
93436	20180321	316.53000	0.019256
93436	20180322	309.10001	-0.023473
93436	20180323	301.54001	-0.024458
93436	20180326	304.17999	0.008755
93436	20180327	279.17999	-0.082188
93436	20180328	257.78000	-0.076653
93436	20180329	266.13000	0.032392
93436	20180402	252.48000	-0.051291
93436	20180403	267.53000	0.059609
93436	20180404	286.94000	0.072553
93436	20180405	305.72000	0.065449
93436	20180406	299.29999	-0.021000
93436	20180409	289.66000	-0.032208
93436	20180410	304.70001	0.051923
93436	20180411	300.92999	-0.012373
93436	20180412	294.07999	-0.022763
93436	20180413	300.34000	0.021287
93436	20180416	291.20999	-0.030399
93436	20180417	287.69000	-0.012087
93436	20180418	293.35001	0.019674
93436	20180419	300.07999	0.022942
93436	20180420	290.23999	-0.032791
93436	20180423	283.37000	-0.023670
93436	20180424	283.45999	0.000318
93436	20180425	280.69000	-0.009772
93436	20180426	285.48001	0.017065
93436	20180427	294.07501	0.030107
93436	20180430	293.89999	-0.000595
93436	20180501	299.92001	0.020483
93436	20180502	301.14999	0.004101
93436	20180503	284.45001	-0.055454
93436	20180504	294.09000	0.033890
93436	20180507	302.76999	0.029515
93436	20180508	301.97000	-0.002642
93436	20180509	306.85001	0.016161
93436	20180510	305.01999	-0.005964
93436	20180511	301.06000	-0.012983
93436	20180514	291.97000	-0.030193
93436	20180515	284.17999	-0.026681
93436	20180516	286.48001	0.008094
93436	20180517	284.54001	-0.006772
93436	20180518	276.82001	-0.027132
93436	20180521	284.48999	0.027707
93436	20180522	275.01001	-0.033323
93436	20180523	279.07001	0.014763
93436	20180524	277.85001	-0.004372
93436	20180525	278.85001	0.003599
93436	20180529	283.76001	0.017608
93436	20180530	291.72000	0.028052
93436	20180531	284.73001	-0.023961
93436	20180601	291.82001	0.024901
93436	20180604	296.73999	0.016860
93436	20180605	291.13000	-0.018905
93436	20180606	319.50000	0.097448
93436	20180607	316.09000	-0.010673
93436	20180608	317.66000	0.004967
93436	20180611	332.10001	0.045457
93436	20180612	342.76999	0.032129
93436	20180613	344.78000	0.005864
93436	20180614	357.72000	0.037531
93436	20180615	358.17001	0.001258
93436	20180618	370.82999	0.035346
93436	20180619	352.54999	-0.049295
93436	20180620	362.22000	0.027429
93436	20180621	347.51001	-0.040611
93436	20180622	333.63000	-0.039941
93436	20180625	333.01001	-0.001858
93436	20180626	342.00000	0.026996
93436	20180627	344.50000	0.007310
93436	20180628	349.92999	0.015762
93436	20180629	342.95001	-0.019947
93436	20180702	335.07001	-0.022977
93436	20180703	310.85999	-0.072254
93436	20180705	309.16000	-0.005469
93436	20180706	308.89999	-0.000841
93436	20180709	318.51001	0.031110
93436	20180710	322.47000	0.012433
93436	20180711	318.95999	-0.010885
93436	20180712	316.70999	-0.007054
93436	20180713	318.87000	0.006820
93436	20180716	310.10001	-0.027503
93436	20180717	322.69000	0.040600
93436	20180718	323.85001	0.003595
93436	20180719	320.23001	-0.011178
93436	20180720	313.57999	-0.020766
93436	20180723	303.20001	-0.033102
93436	20180724	297.42999	-0.019030
93436	20180725	308.73999	0.038026
93436	20180726	306.64999	-0.006769
93436	20180727	297.17999	-0.030882
93436	20180730	290.17001	-0.023588
93436	20180731	298.14001	0.027467
93436	20180801	300.84000	0.009056
93436	20180802	349.54001	0.161880
93436	20180803	348.17001	-0.003919
93436	20180806	341.98999	-0.017750
93436	20180807	379.57001	0.109886
93436	20180808	370.34000	-0.024317
93436	20180809	352.45001	-0.048307
93436	20180810	355.48999	0.008625
