yyyy,public,all_stock,horz,domestic,relsize,bidder_mtb,bidder_lev,bidder_tang,bidder_cash,bidder_rd,rate,lbidder_size,med_mtb_sect
2008,0,0,1,1,0.1291416,1.8975637,0.33400273,1.1149455,0,0,0.056700002,10.387641,0.95414209
2008,0,0,0,1,0.26298702,1.1950134,0.2110804,0.59548831,0.081402957,0,0.0557,4.3438053,0.95414209
2008,0,0,1,1,0.025888888,1.326026,0.35528401,0.76809818,0.080395482,0,0.055300001,6.8023949,0.95414209
2008,0,0,1,1,0.27303755,1.5221353,0.21575238,1.03572,0.020172004,0,0.056700002,7.6260829,0.95414209
2008,0,0,0,1,0.30409768,1.3591837,0.35223275,0.80783784,0.042580813,0,0.062800005,6.6025877,0.95414209
2008,0,0,1,1,0.43185589,1.4188765,0.17083079,1.041038,0.042953409,0,0.056799997,7.1522689,0.95414209
2008,0,0,1,1,12.17,0.81038374,0.04103839,0.006789503,0.006665586,0.002450053,0.056799997,1.7917595,0.95414209
2009,0,0,1,1,0.058749996,0.65037608,0.34865808,0.006789503,0.099245928,0,0.0515,3.6888795,1.5618695
2009,1,0,1,1,0.81300861,1.2404919,0.23756112,1.2791911,0.004755028,0,0.052600004,8.154788,1.5618695
2009,1,1,1,1,0.26694444,1.055962,0.149527,0.94381618,0,0,0.0539,3.583519,1.5618695
2009,0,0,1,0,0.12117647,0.82241261,0.13458532,1.1797957,0.28340247,0,0.051899999,4.4426513,1.5618695
2010,1,1,1,1,0.065900475,1.6070768,0.19524211,0.006789503,0.034272499,0,0.0504,6.0450053,2.1291642
2010,1,0,1,1,1.0524207,1.7819772,0.74676675,1.6741102,0.002827375,0,0.049600001,7.3639135,2.1291642
2010,0,0,1,1,0.33569711,0.66444862,0.33781728,0.80375081,0.014289046,0,0.044899996,6.0306854,2.1291642
2010,0,0,0,1,0.17682829,1.2300403,0.31479564,1.0383103,0.02246682,0,0.044899996,7.1372786,2.1291642
2010,1,1,0,1,0.14144124,2.7529523,0.13013597,0.6512177,0.007261318,0.023965336,0.052699998,11.265297,2.1291642
2011,0,0,1,1,0.65379828,1.1161226,0.39276803,1.1045496,0.0030006,0,0.049600001,6.6883545,1.7437242
2011,1,0,1,1,0.98138082,1.5096914,0.24578741,0.71701747,0.017446751,0,0.038699999,7.9094896,1.7437242
2011,0,0,1,1,0.079166666,1.2631676,0.002557714,1.3540339,0.37033933,0,0.039799999,4.2766662,1.7437242
2011,1,1,1,0,0.46868226,2.7337849,0.10450783,0.006789503,0.002225195,0,0.052199997,6.526495,1.7437242
2011,1,1,1,1,0.55546021,1.3641871,0.26167315,0.83640236,0.001165258,0,0.051599998,6.8741984,1.7437242
2011,1,0,0,1,0.014436089,1.1276773,0.33997688,1.5786331,0.002743484,0,0.049600001,9.996295,1.7437242
2012,1,0,1,1,0.98859566,1.8980237,0.74676675,1.6741102,0.000182971,0,0.037999999,6.9669671,1.4398816
2012,0,0,1,1,0.10454545,1.1925812,0.10257029,1.6741102,0.030107398,0,0.037999999,2.3978953,1.4398816
2012,0,0,0,1,0.38765824,1.9051194,0.24543944,0.54695642,0.14859518,0,0.0396,6.4488893,1.4398816
2012,0,0,1,1,0.28092784,2.2846355,0,0.48384583,0.086976081,0,0.034000002,6.877296,1.4398816
2012,0,1,1,1,0.020730443,2.7282495,0.22215407,1.0917225,0.009483384,0,0.0396,9.7050972,1.4398816
2012,0,0,0,1,1.0342104,1.9051194,0.24543944,0.54695642,0.14859518,0,0.034699999,6.2402759,1.4398816
2013,1,0,0,1,0.89574492,1.0281335,0.35033295,0.40880299,0.008608088,0,0.046300001,8.6963434,1.6240911
2013,0,0,0,1,0.35376763,1.0281335,0.35033295,0.40880299,0.008608088,0,0.039300002,8.3387842,1.6240911
2013,0,0,1,1,1.8943479,0.64630204,0.32271436,1.3197067,0.009576834,0,0.038900003,5.4380794,1.6240911
